"1.1 At International level (medals won) – Individual Sports"
1.1,"NCOE Name","Team Type",Category,Displine,Level,"Form Type",Male-2018_19,"Female -2018_19","Male -2019_20","Female -2019_20","Male -2020_21","Female -2020_21","Male -2021_22","Female -2021_22","Male -2022_23","Female -2022_23"
1.4,"NCOE Imphal",Individual,category-1,Archery,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Imphal",Individual,category-1,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Imphal",Individual,category-1,Cycling,International,participation,0,0,0,3,0,0,0,0,0,0
1.4,"NCOE Imphal",Individual,category-1,Fencing,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Imphal",Individual,category-1,Judo,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Imphal",Individual,category-1,Wushu,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Imphal",Individual,category-1,Weightlifting,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE THIRUVANANTHAPURAM",Individual,category-1,Taekwondo,International,participation,0,1,0,0,0,0,0,0,0,0
1.4,"NCOE THIRUVANANTHAPURAM",Individual,category-1,Athletics,International,participation,0,2,0,0,0,0,0,0,3,2
1.4,"NCOE THIRUVANANTHAPURAM",Individual,category-1,Cycling,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE DHARAMSHALA",Individual,category-1,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-1,Boxing,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-1,Weightlifting,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-1,Wushu,International,participation,0,0,0,0,0,0,0,0,1,0
1.4,"NCOE Sonepat",Individual,category-1,Wrestling,International,participation,2,0,3,0,1,0,0,0,5,0
1.4,"NCOE Sonepat",Individual,category-1,Athletics,International,participation,1,0,0,0,0,0,0,0,0,0
1.4,"NCOE Sonepat",Individual,category-1,Archery,International,participation,0,0,2,2,0,0,2,2,2,2
1.4,"NCOE JAGATPUR",Individual,category-1,"Kayaking & Canoeing",International,participation,0,0,0,0,0,0,0,0,0,0
